time,day_temperature_C,day_humidity_percent,dayofweek_sin,dayofweek_cos,dayofmonth_sin,dayofmonth_cos,dayofyear_sin,dayofyear_cos,complaint_count
2022-06-10,34.6,47,-0.433883739117558,-0.9009688679024191,0.8978045395707416,-0.4403941515576344,0.36171373072976765,-0.9322892131745133,10.0
2022-06-11,34.8,42,-0.9749279121818236,-0.2225209339563146,0.7907757369376989,-0.6121059825476626,0.3456123126707335,-0.9383773917408641,12.0
2022-06-12,34.4,45,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,0.3294084822245304,-0.9441875088341993,5.0
2022-06-13,34.7,45,0.0,1.0,0.48530196253108104,-0.8743466161445821,0.3131070409358269,-0.9497178427914316,15.0
2022-06-14,32.9,52,0.7818314824680298,0.6234898018587336,0.29936312297335804,-0.9541392564000488,0.29671281927349075,-0.9549667548552551,16.0
2022-06-15,30.7,66,0.9749279121818236,-0.22252093395631434,0.10116832198743272,-0.994869323391895,0.28023067519921585,-0.9599326896597447,15.0
2022-06-16,30.4,68,0.43388373911755823,-0.900968867902419,-0.10116832198743204,-0.9948693233918952,0.26366549272800704,-0.9646141756912435,11.0
2022-06-17,28.6,78,-0.433883739117558,-0.9009688679024191,-0.2993631229733582,-0.9541392564000488,0.24702218048093552,-0.9690098257244062,13.0
2022-06-18,27.6,84,-0.9749279121818236,-0.2225209339563146,-0.4853019625310808,-0.8743466161445822,0.23030567023061221,-0.9731183372332619,26.0
2022-06-19,27.3,88,-0.7818314824680299,0.6234898018587334,-0.651372482722222,-0.7587581226927911,0.21352091543979612,-0.9769384927771817,19.0
2022-06-20,27.2,87,0.0,1.0,-0.7907757369376986,-0.6121059825476627,0.19667288979357647,-0.980469160361632,20.0
2022-06-21,27.6,82,0.7818314824680298,0.6234898018587336,-0.8978045395707417,-0.44039415155763423,0.1797665857255624,-0.9837092937736097,14.0
2022-06-22,28.1,80,0.9749279121818236,-0.22252093395631434,-0.9680771188662041,-0.2506525322587213,0.16280701293851715,-0.986657932891657,11.0
2022-06-23,28.2,83,0.43388373911755823,-0.900968867902419,-0.9987165071710528,-0.05064916883871355,0.1457991969198751,-0.9893142039703663,7.0
2022-06-24,27.2,84,-0.433883739117558,-0.9009688679024191,-0.9884683243281114,0.15142777750457667,0.12874817745258132,-0.99167731989929,12.0
2022-06-25,26.7,86,-0.9749279121818236,-0.2225209339563146,-0.9377521321470804,0.3473052528448203,0.11165900712169512,-0.993746580436178,8.0
2022-06-26,28.1,80,-0.7818314824680299,0.6234898018587334,-0.8486442574947509,0.5289640103269624,0.09453674981719912,-0.9955213724144752,11.0
2022-06-27,29.2,77,0.0,1.0,-0.72479278722912,0.6889669190756865,0.07738647923346301,-0.9970011699250151,9.0
